,min_salary,max_salary,med_salary,range_salary,company_name,rating,location,headquarters,python,tensorflow,pytorch,mlops,ci_cd,data_cleaning,tableau,power_bi,big_data
0,137,171,154,34,Healthfirst,3.1,"New York, NY","New York, NY",0,0,0,0,0,0,0,0,0
1,137,171,154,34,ManTech,4.2,"Chantilly, VA","Herndon, VA",0,0,0,0,0,0,0,0,1
2,137,171,154,34,Analysis Group,3.8,"Boston, MA","Boston, MA",1,0,0,0,0,0,0,0,0
3,137,171,154,34,INFICON,3.5,"Newton, MA","Bad Ragaz, Switzerland",1,1,1,0,0,0,0,0,0
4,137,171,154,34,Affinity Solutions,2.9,"New York, NY","New York, NY",1,0,0,0,0,0,0,0,0
5,137,171,154,34,HG Insights,4.2,"Santa Barbara, CA","Santa Barbara, CA",1,1,0,0,0,0,0,0,0
6,137,171,154,34,Novartis,3.9,"Cambridge, MA","Basel, Switzerland",1,0,1,0,0,0,0,0,0
7,137,171,154,34,iRobot,3.5,"Bedford, MA","Bedford, MA",1,0,0,0,0,0,0,0,0
8,137,171,154,34,Intuit - Data,4.4,"San Diego, CA","Mountain View, CA",0,0,0,0,0,0,0,0,0
9,137,171,154,34,XSELL Technologies,3.6,"Chicago, IL","Chicago, IL",1,1,1,0,0,0,0,0,0
10,137,171,154,34,Novetta,4.5,"Herndon, VA","Mc Lean, VA",1,1,0,0,0,0,0,0,0
11,137,171,154,34,1904labs,4.7,"Saint Louis, MO","Saint Louis, MO",1,1,0,0,0,0,0,0,0
12,137,171,154,34,PNNL,3.7,"Richland, WA","Richland, WA",0,0,0,0,0,0,0,0,0
13,137,171,154,34,Old World Industries,3.1,"Northbrook, IL","Northbrook, IL",1,0,0,0,0,0,1,0,0
14,137,171,154,34,Mathematica Policy Research,3.4,"Washington, DC","Princeton, NJ",1,0,0,0,0,0,0,0,0
15,137,171,154,34,Guzman & Griffin Technologies (GGTI),4.4,"Washington, DC","Mays Landing, NJ",1,1,0,0,0,0,1,0,0
16,137,171,154,34,Upside Business Travel,4.1,Remote,"Washington, DC",1,1,1,0,0,0,0,0,0
17,137,171,154,34,Buckman,3.5,"Memphis, TN","Memphis, TN",1,0,0,0,0,0,0,0,0
18,137,171,154,34,"Insight Enterprises, Inc.",4.2,"Plano, TX","Tempe, AZ",0,0,0,0,0,0,0,0,0
19,137,171,154,34,Tower Health,3.5,"West Grove, PA","Reading, PA",0,0,0,0,0,0,0,0,0
20,137,171,154,34,Triplebyte,3.2,"New York, NY","San Francisco, CA",0,0,0,0,0,0,0,0,0
21,137,171,154,34,PulsePoint,4.3,"New York, NY","New York, NY",1,0,0,0,0,0,0,0,1
22,137,171,154,34,Exponent,3.5,"Phoenix, AZ","Menlo Park, CA",0,0,0,0,0,0,0,0,0
23,137,171,154,34,Guardian Life,3.5,"Appleton, WI","New York, NY",0,0,0,0,0,0,0,0,0
24,137,171,154,34,Spectrum Communications and Consulting,3.4,"Chicago, IL","Chicago, IL",0,0,0,0,0,1,0,0,0
25,137,171,154,34,Oversight Systems,4.7,"Atlanta, GA","Atlanta, GA",1,0,1,0,0,0,0,0,0
26,137,171,154,34,LSQ,4.2,"Orlando, FL","Orlando, FL",1,1,0,0,0,0,1,1,1
27,137,171,154,34,MIT Lincoln Laboratory,3.8,"Lexington, MA","Lexington, MA",1,0,0,0,0,0,0,0,1
28,137,171,154,34,Kingfisher Systems,4.5,"McLean, VA","Falls Church, VA",1,0,0,0,0,0,1,0,0
29,137,171,154,34,Formation,2.8,"San Francisco, CA","San Francisco, CA",0,1,0,0,0,0,0,0,1
30,75,131,103,56,Analysis Group,3.8,"Boston, MA","Boston, MA",1,0,0,0,0,0,0,0,0
31,75,131,103,56,Novartis,3.9,"Cambridge, MA","Basel, Switzerland",1,0,1,0,0,0,0,0,0
32,75,131,103,56,Cohere Health,5.0,"Boston, MA","Boston, MA",1,0,0,0,0,0,0,0,0
33,75,131,103,56,Acuity Insurance,4.8,"Sheboygan, WI","Sheboygan, WI",0,0,0,0,0,0,0,0,0
34,75,131,103,56,Chef,3.6,United States,"Seattle, WA",0,0,0,0,0,0,0,0,1
35,75,131,103,56,Puget Sound Energy,3.3,"Bothell, WA","Bellevue, WA",0,0,0,0,0,0,0,0,0
36,75,131,103,56,Sandhills Global,2.7,"Lincoln, NE","Lincoln, NE",1,0,0,0,0,0,1,1,0
37,75,131,103,56,A Place for Mom,2.7,"Overland Park, KS","New York, NY",1,0,0,0,0,0,0,0,0
38,75,131,103,56,Great-Circle Technologies,2.2,"Chantilly, VA","Chantilly, VA",1,0,0,0,0,0,0,0,0
39,75,131,103,56,Edmunds.com,3.4,"Santa Monica, CA","Santa Monica, CA",1,0,0,0,0,0,1,0,0
40,75,131,103,56,"Cambridge Associates, LLC",3.1,"Boston, MA","Boston, MA",1,0,0,0,0,0,0,0,0
41,75,131,103,56,Liberty Mutual Insurance,3.4,"Portsmouth, NH","Boston, MA",1,0,0,0,1,0,0,0,1
42,75,131,103,56,Cenlar,2.6,"Ewing, NJ","Ewing, NJ",0,0,0,0,0,0,0,0,0
43,75,131,103,56,Arsenal Biosciences,5.0,"South San Francisco, CA","South San Francisco, CA",0,0,0,0,0,0,0,0,0
44,75,131,103,56,Eversight,4.2,"Palo Alto, CA","Palo Alto, CA",1,0,0,0,0,0,0,0,0
45,75,131,103,56,Pfizer,4.1,"Cambridge, MA","New York, NY",1,1,1,0,0,0,0,0,0
46,75,131,103,56,Klaviyo,4.8,"Boston, MA","Boston, MA",0,0,0,0,0,0,0,0,0
47,75,131,103,56,Intellectual Ventures,3.3,"Bellevue, WA","Bellevue, WA",1,0,0,0,0,0,0,0,0
48,75,131,103,56,GovTech,3.7,"San Francisco, CA","Singapore, Singapore",1,0,0,0,0,1,1,0,0
49,75,131,103,56,Quick Base,4.3,"Cambridge, MA","Cambridge, MA",1,0,0,0,0,0,1,1,0
50,75,131,103,56,Giving Assistant,4.8,"San Francisco, CA","San Francisco, CA",1,0,0,0,0,0,1,0,0
51,75,131,103,56,Takeda,3.7,"Cambridge, MA","OSAKA, Japan",1,1,0,0,0,0,0,0,0
52,75,131,103,56,Netskope,4.0,"San Francisco, CA","Santa Clara, CA",1,1,0,0,0,0,0,0,1
53,75,131,103,56,IT Concepts,4.8,Remote,"Vienna, VA",0,0,0,0,0,0,0,0,0
54,75,131,103,56,iSeatz,3.5,"New Orleans, LA","New Orleans, LA",0,0,0,0,0,0,0,0,0
55,75,131,103,56,Summa Health System,3.7,"Akron, OH","Akron, OH",0,0,0,0,0,0,1,0,0
56,75,131,103,56,Benson Hill,3.5,"Saint Louis, MO","Saint Louis, MO",1,0,0,0,0,0,0,0,1
57,75,131,103,56,Twitter,4.1,"San Francisco, CA","San Francisco, CA",1,0,0,0,0,0,0,0,0
58,75,131,103,56,Postmates - Corporate HQ,3.2,"San Francisco, CA","San Francisco, CA",1,1,1,0,0,0,0,0,0
59,75,131,103,56,Envision LLC,4.5,"Saint Louis, MO","Saint Louis, MO",1,0,0,0,0,0,0,0,0
60,75,131,103,56,Swiss Re,3.8,"Fort Wayne, IN","Zurich, Switzerland",1,0,0,0,0,0,0,0,0
61,75,131,103,56,Systems & Technology Research,4.5,"Woburn, MA","Woburn, MA",1,0,0,0,0,0,0,0,0
62,79,131,105,52,iRobot,3.5,"Bedford, MA","Bedford, MA",1,0,0,0,0,0,0,0,0
63,79,131,105,52,HG Insights,4.2,"Santa Barbara, CA","Santa Barbara, CA",1,1,0,0,0,0,0,0,0
64,79,131,105,52,Dermalogica,3.8,"Carson, CA","Carson, CA",0,0,0,0,0,0,1,1,0
65,79,131,105,52,Bayview Asset Management,3.7,"Coral Gables, FL","Coral Gables, FL",1,0,0,0,0,1,0,0,0
66,79,131,105,52,Via Transportation,3.7,"New York, NY","New York, NY",1,0,0,0,0,0,1,0,0
67,79,131,105,52,Grid Dynamics,4.0,"Santa Clara, CA","San Ramon, CA",1,0,0,0,0,0,1,0,1
68,79,131,105,52,Tempus Labs,3.3,"Chicago, IL","Chicago, IL",1,1,1,0,0,0,0,0,0
69,79,131,105,52,CareDx,2.5,"Brisbane, CA","Brisbane, CA",1,1,1,0,0,0,0,0,0
70,79,131,105,52,IZEA,4.2,"Winter Park, FL","Winter Park, FL",1,0,0,0,1,0,0,0,0
71,79,131,105,52,Tempus Labs,3.3,"Redwood City, CA","Chicago, IL",1,0,0,0,0,0,0,0,0
72,79,131,105,52,Autodesk,4.0,"San Francisco, CA","San Rafael, CA",1,0,0,0,0,0,0,0,1
73,79,131,105,52,Caterpillar,3.7,"Peoria, IL","Deerfield, IL",0,0,0,0,0,0,1,0,0
74,79,131,105,52,New England Biolabs,4.9,"Ipswich, MA","Ipswich, MA",0,0,0,0,0,0,0,0,0
75,79,131,105,52,Allied Solutions,3.4,"Carmel, IN","Carmel, IN",1,0,0,0,0,0,1,0,0
76,79,131,105,52,Healthfirst,3.1,"New York, NY","New York, NY",1,0,0,0,0,0,0,0,1
77,79,131,105,52,The Knot Worldwide,3.5,"Washington, DC","Chevy Chase, MD",1,0,0,0,0,0,0,0,0
78,79,131,105,52,IFG Companies,2.9,"New York, NY","Hartford, CT",1,0,0,0,0,1,0,0,0
79,79,131,105,52,Amyris,3.3,"Emeryville, CA","Emeryville, CA",1,0,0,0,1,0,0,0,0
80,79,131,105,52,AstraZeneca,4.0,"Gaithersburg, MD","Cambridge, United Kingdom",1,0,0,0,0,0,0,0,0
81,79,131,105,52,Powertek,3.6,"Washington, DC","Rockville, MD",0,0,0,0,0,0,0,0,0
82,79,131,105,52,Object Partners,4.7,"Saint Louis, MO","Minneapolis, MN",0,0,0,0,1,0,0,0,1
83,79,131,105,52,The Mom Project,4.9,"Longmont, CO","Chicago, IL",1,1,0,0,0,0,0,0,0
84,79,131,105,52,Lightspeed Systems,4.3,"Austin, TX","Austin, TX",1,1,0,0,0,0,0,0,0
85,79,131,105,52,Stripe,4.0,"San Francisco, CA","San Francisco, CA",1,0,0,0,0,0,0,0,0
86,79,131,105,52,Comprehensive Healthcare,2.6,"Yakima, WA","Yakima, WA",0,0,0,0,0,0,0,0,0
87,79,131,105,52,"Fullpower Technologies, Inc.",4.5,"Santa Cruz, CA","Santa Cruz, CA",1,1,1,0,0,0,0,0,1
88,79,131,105,52,Klaviyo,4.8,"Boston, MA","Boston, MA",1,0,0,0,0,0,0,0,0
89,79,131,105,52,Mars,3.9,United States,"Mc Lean, VA",1,0,0,0,0,0,0,0,0
90,79,131,105,52,AstraZeneca,4.0,"Gaithersburg, MD","Cambridge, United Kingdom",1,0,0,0,0,0,0,0,0
91,79,131,105,52,NuWave Solutions,4.4,"Springfield, VA","Mc Lean, VA",1,0,0,0,0,0,0,0,0
92,79,131,105,52,ManTech,4.2,"Alexandria, VA","Herndon, VA",1,0,0,0,0,0,1,0,1
93,79,131,105,52,Merrick Bank,3.6,Utah,"South Jordan, UT",1,0,0,0,0,0,0,0,0
94,99,132,115,33,Mathematica Policy Research,3.4,"Washington, DC","Princeton, NJ",1,0,0,0,0,0,0,0,0
95,99,132,115,33,Intuit - Data,4.4,"San Diego, CA","Mountain View, CA",0,0,0,0,0,0,0,0,0
96,99,132,115,33,QOMPLX,3.5,"Reston, VA","Reston, VA",1,0,0,1,0,0,0,0,0
97,99,132,115,33,Mars,3.9,"New York, NY","Mc Lean, VA",1,0,0,0,0,0,0,0,0
98,99,132,115,33,GutCheck,3.8,"Denver, CO","Denver, CO",0,1,0,0,0,0,0,0,0
99,99,132,115,33,Inter-American Development Bank,3.5,"Washington, DC","Washington, DC",0,0,0,0,0,0,1,0,0
100,99,132,115,33,Avlino,4.9,New Jersey,"Holmdel, NJ",1,1,0,0,0,0,0,0,1
101,99,132,115,33,Stratagem Group,4.4,"Aurora, CO","Aurora, CO",1,1,0,0,0,0,0,0,0
102,99,132,115,33,Evidation,4.1,"Santa Barbara, CA","San Mateo, CA",1,1,0,0,0,0,0,0,0
103,99,132,115,33,Autodesk,4.0,"San Francisco, CA","San Rafael, CA",1,1,0,0,0,0,0,0,1
104,99,132,115,33,Intuit - Data,4.4,"San Diego, CA","Mountain View, CA",0,0,0,0,0,0,0,0,0
105,99,132,115,33,Tecolote Research,3.8,"Hill AFB, UT","Goleta, CA",1,0,0,0,0,0,1,1,0
106,99,132,115,33,Tivity Health,3.2,"Chandler, AZ","Franklin, TN",0,0,0,0,0,0,0,0,1
107,99,132,115,33,hc1,2.9,"Indianapolis, IN","Indianapolis, IN",1,0,0,0,0,1,0,0,0
108,99,132,115,33,HP Inc.,4.1,"San Diego, CA","Palo Alto, CA",1,0,0,0,0,0,0,0,1
109,99,132,115,33,SAIC,3.7,"Chantilly, VA","Reston, VA",1,0,0,0,0,0,0,0,0
110,99,132,115,33,AllianceBernstein,3.2,"Nashville, TN","New York, NY",0,0,0,0,0,0,0,0,0
111,99,132,115,33,Big Huge Games,4.9,"Timonium, MD","Lutherville Timonium, MD",0,0,0,0,0,0,1,0,0
112,99,132,115,33,Maxar Technologies,3.5,"Herndon, VA","Westminster, CO",1,0,0,0,0,0,0,0,1
113,99,132,115,33,Phantom AI,5.0,"Burlingame, CA","Burlingame, CA",1,0,0,0,0,0,0,0,0
114,99,132,115,33,Noblis,4.0,"Reston, VA","Reston, VA",1,1,0,0,0,0,1,0,0
115,99,132,115,33,Spring Health,3.6,"New York, NY","New York, NY",1,0,0,0,0,0,0,0,0
116,99,132,115,33,ClearEdge,4.0,"Annapolis Junction, MD","Annapolis Junction, MD",1,1,0,0,0,0,0,0,1
117,99,132,115,33,AllianceBernstein,3.2,"Nashville, TN","New York, NY",1,0,0,0,1,0,0,0,0
118,99,132,115,33,Arsenal Biosciences,5.0,"South San Francisco, CA","South San Francisco, CA",0,0,0,0,0,0,0,0,0
